Personnel_Type,BSO,Platform,Job_Specialty,Pay_Grade_Level,BA,Onboard,Gap,Model_Criticality_Score
Military,NAVAIR,LCS,OS,E2,3,1,2,72
Military,USFF,SSN,EN,E4,23,25,-2,60
Military,NAVWAR,SSN,OS,E6,2,4,-2,72
Military,NAVAIR,LPD,IT,E3,24,23,1,72
Military,CNP,LCS,PS,E7,12,10,2,100
Military,CNP,LHA,GM,E5,7,8,-1,72
Military,CNP,LCS,CTN,E6,21,23,-2,72
Military,NAVAIR,DDG,HM,E4,14,14,0,60
Military,CNP,LHA,HM,E6,13,11,2,92
Military,NAVSEA,LHA,IT,E5,17,18,-1,72
Military,NAVSEA,SHORE,GM,E4,2,4,-2,28
Military,NAVWAR,SSN,OS,E3,5,3,2,72
Military,NAVWAR,SSN,OS,E6,8,7,1,92
Military,NAVWAR,SHORE,EN,E4,9,11,-2,28
Military,NAVSEA,SSN,ET,E4,20,18,2,80
Military,USFF,CVN,ET,E7,2,4,-2,80
Military,CNP,LCS,LS,E6,9,8,1,92
Military,USFF,DDG,LS,E4,8,7,1,80
Military,NAVWAR,SSN,OS,E7,23,23,0,80
Military,CNP,LPD,PS,E6,16,17,-1,72
Military,NAVAIR,SSN,HM,E4,13,11,2,80
Military,NAVSEA,LPD,EN,E3,12,14,-2,52
Military,NAVAIR,SHORE,PS,E4,15,14,1,48
Military,NAVWAR,LHA,CTN,E5,11,10,1,92
Military,USFF,SSN,GM,E7,16,16,0,80
Military,CNP,LHA,IT,E3,7,5,2,72
Military,USFF,LHA,OS,E2,5,6,-1,52
Military,NAVWAR,LHA,LS,E2,12,12,0,52
Military,NAVSEA,SSN,CTN,E4,2,3,-1,60
Military,NAVSEA,LPD,ET,E6,23,22,1,92
Military,NAVWAR,SSN,HM,E4,10,8,2,80
Military,USFF,DDG,IT,E3,21,23,-2,52
Military,NAVSEA,DDG,CTN,E3,16,18,-2,52
Military,NAVSEA,LCS,IT,E5,19,20,-1,72
Military,NAVAIR,LCS,EN,E3,9,11,-2,52
Military,NAVSEA,SHORE,GM,E5,22,22,0,40
Military,NAVSEA,LCS,PS,E7,12,11,1,100
Military,NAVAIR,DDG,GM,E7,7,6,1,100
Military,USFF,LPD,LS,E3,21,19,2,72
Military,CNP,DDG,LS,E4,20,22,-2,60
Military,NAVWAR,LCS,ET,E3,13,13,0,52
Military,CNP,DDG,ET,E1,6,7,-1,52
Military,NAVWAR,LPD,OS,E2,14,14,0,52
Military,CNP,LCS,EN,E5,5,3,2,92
Military,CNP,SSN,HM,E3,21,20,1,72
Military,NAVSEA,LPD,OS,E4,4,4,0,60
Military,CNP,CVN,CTN,E4,6,5,1,80
Military,CNP,DDG,OS,E5,23,24,-1,72
Military,NAVAIR,SHORE,CTN,E4,3,5,-2,28
Military,NAVWAR,LPD,OS,E6,4,3,1,92
Military,USFF,LHA,IT,E6,22,22,0,72
Military,USFF,CVN,OS,E1,10,9,1,72
Military,USFF,DDG,OS,E7,13,15,-2,80
Military,NAVAIR,LHA,GM,E3,4,6,-2,52
Military,NAVAIR,LHA,CTN,E3,13,11,2,72
Military,CNP,DDG,OS,E4,17,16,1,80
Military,NAVWAR,LCS,ET,E5,21,20,1,92
Military,NAVSEA,LHA,OS,E3,4,6,-2,52
Military,USFF,LHA,GM,E6,22,21,1,92
Military,CNP,LCS,OS,E1,6,7,-1,52
Military,USFF,SSN,GM,E6,24,25,-1,72
Military,CNP,DDG,ET,E6,11,12,-1,72
Military,NAVWAR,SSN,PS,E3,14,16,-2,52
Military,CNP,LCS,HM,E1,2,2,0,52
Military,NAVAIR,DDG,PS,E3,22,23,-1,52
Military,NAVAIR,LCS,ET,E4,7,6,1,80
Military,NAVWAR,LPD,OS,E4,20,18,2,80
Military,NAVAIR,LPD,HM,E5,6,8,-2,72
Military,NAVAIR,SHORE,LS,E6,3,1,2,60
Military,NAVAIR,LCS,EN,E4,12,10,2,80
Military,CNP,SSN,IT,E4,23,21,2,80
Military,NAVAIR,SHORE,GM,E7,4,2,2,68
Military,NAVWAR,CVN,IT,E5,18,20,-2,72
Military,NAVSEA,SSN,IT,E3,11,9,2,72
Military,NAVAIR,LHA,GM,E1,18,17,1,72
Military,USFF,DDG,CTN,E4,21,22,-1,60
Military,NAVAIR,LPD,PS,E2,11,12,-1,52
Military,NAVSEA,SHORE,EN,E1,8,6,2,40
Military,NAVWAR,DDG,GM,E5,6,5,1,92
Military,NAVWAR,LHA,EN,E1,8,8,0,52
Military,USFF,DDG,IT,E2,9,8,1,72
Military,CNP,LHA,HM,E6,2,1,1,92
Military,NAVAIR,SSN,CTN,E3,20,22,-2,52
Military,NAVWAR,CVN,ET,E5,18,16,2,92
Military,NAVSEA,LPD,ET,E5,11,12,-1,72
Military,USFF,LHA,EN,E7,13,14,-1,80
Military,NAVAIR,LCS,IT,E5,6,5,1,92
Military,NAVWAR,SHORE,OS,E2,21,19,2,40
Military,NAVWAR,LHA,GM,E1,21,23,-2,52
Military,NAVSEA,DDG,IT,E8,18,17,1,100
Military,USFF,SSN,GM,E5,9,9,0,72
Military,NAVWAR,CVN,OS,E2,1,0,1,72
Military,USFF,SSN,PS,E4,3,4,-1,60
Military,NAVWAR,CVN,GM,E4,19,20,-1,60
Military,CNP,LHA,OS,E9,14,13,1,100
Military,USFF,SSN,LS,E2,17,15,2,72
Military,NAVWAR,CVN,PS,E4,19,18,1,80
Military,NAVWAR,LCS,PS,E6,1,3,-2,72
Military,NAVAIR,LHA,OS,E4,10,9,1,80
Military,CNP,DDG,HM,E5,18,18,0,72
Military,USFF,LCS,GM,E6,14,14,0,72
Military,NAVWAR,SHORE,OS,E4,7,6,1,48
Military,NAVSEA,LCS,PS,E2,16,18,-2,52
Military,CNP,SHORE,LS,E3,15,16,-1,20
Military,NAVSEA,SSN,LS,E3,11,10,1,72
Military,NAVWAR,CVN,LS,E5,13,13,0,72
Military,NAVSEA,CVN,CTN,E8,16,18,-2,80
Military,USFF,DDG,LS,E5,12,11,1,92
Military,USFF,LPD,CTN,E2,18,18,0,52
Military,NAVSEA,LHA,IT,E6,11,10,1,92
Military,CNP,CVN,HM,E3,10,8,2,72
Military,CNP,LHA,LS,E3,24,22,2,72
Military,CNP,CVN,ET,E3,20,18,2,72
Military,NAVSEA,DDG,LS,E1,15,14,1,72
Military,NAVWAR,CVN,GM,E2,7,7,0,52
Military,NAVSEA,SHORE,PS,E3,22,24,-2,20
Military,USFF,SHORE,EN,E7,22,23,-1,48
Military,NAVSEA,SSN,LS,E5,22,24,-2,72
Military,CNP,LPD,IT,E7,4,5,-1,80
Military,USFF,SSN,HM,E7,24,26,-2,80
Military,CNP,LPD,CTN,E3,17,18,-1,52
Military,USFF,SSN,CTN,E7,14,12,2,100
Military,NAVWAR,LPD,PS,E5,19,19,0,72
Military,NAVWAR,LPD,IT,E9,22,22,0,80
Military,NAVAIR,LPD,IT,E5,21,22,-1,72
Military,NAVWAR,LCS,ET,E5,6,7,-1,72
Military,NAVWAR,SHORE,EN,E2,11,11,0,20
Military,USFF,DDG,PS,E5,8,7,1,92
Military,CNP,CVN,EN,E4,17,15,2,80
Military,NAVSEA,LHA,LS,E4,14,14,0,60
Military,USFF,LCS,PS,E5,7,9,-2,72
Military,NAVAIR,CVN,ET,E4,16,18,-2,60
Military,NAVWAR,SHORE,OS,E2,17,18,-1,20
Military,USFF,SHORE,IT,E3,19,21,-2,20
Military,NAVSEA,CVN,ET,E3,12,14,-2,52
Military,NAVWAR,LPD,CTN,E5,7,8,-1,72
Military,NAVSEA,SHORE,IT,E2,11,12,-1,20
Military,USFF,LCS,IT,E6,3,1,2,92
Military,CNP,LCS,EN,E5,4,4,0,72
Military,CNP,SHORE,PS,E4,12,12,0,28
Military,NAVSEA,SSN,PS,E5,8,10,-2,72
Military,NAVSEA,DDG,PS,E9,22,22,0,80
Military,NAVSEA,LHA,IT,E4,12,10,2,80
Military,USFF,CVN,CTN,E6,5,3,2,92
Military,NAVWAR,LCS,EN,E1,2,4,-2,52
Military,NAVAIR,CVN,EN,E5,16,17,-1,72
Military,NAVWAR,DDG,LS,E6,24,26,-2,72
Military,CNP,LPD,HM,E7,16,17,-1,80
Military,NAVWAR,LPD,IT,E5,2,2,0,72
Military,CNP,SHORE,GM,E5,2,3,-1,40
Military,CNP,LHA,PS,E4,6,5,1,80
Military,CNP,LCS,OS,E4,14,15,-1,60
Military,NAVWAR,DDG,EN,E4,14,12,2,80
Military,CNP,CVN,GM,E3,23,23,0,52
Military,NAVAIR,SHORE,GM,E2,4,6,-2,20
Military,USFF,SSN,IT,E5,23,21,2,92
Military,NAVSEA,SHORE,LS,E1,3,5,-2,20
Military,USFF,SHORE,OS,E5,1,1,0,40
Military,NAVWAR,CVN,OS,E2,13,11,2,72
Military,CNP,SSN,HM,E4,23,25,-2,60
Military,NAVAIR,DDG,EN,E3,21,21,0,52
Military,CNP,CVN,CTN,E3,4,6,-2,52
Military,NAVAIR,LCS,IT,E3,22,20,2,72
Military,USFF,LCS,GM,E7,21,22,-1,80
Military,NAVSEA,DDG,CTN,E3,2,0,2,72
Military,NAVAIR,LPD,CTN,E5,21,21,0,72
Military,NAVSEA,SHORE,LS,E1,24,26,-2,20
Military,NAVWAR,SSN,CTN,E6,2,3,-1,72
Military,NAVSEA,LPD,OS,E4,5,7,-2,60
Military,NAVSEA,CVN,PS,E2,11,11,0,52
Military,CNP,SHORE,IT,E4,11,12,-1,28
Military,NAVWAR,SHORE,ET,E1,8,9,-1,20
Military,CNP,CVN,ET,E2,5,4,1,72
Military,CNP,LHA,CTN,E3,17,17,0,52
Military,NAVSEA,CVN,CTN,E2,24,26,-2,52
Military,NAVSEA,LCS,OS,E3,13,11,2,72
Military,NAVAIR,CVN,ET,E3,16,18,-2,52
Military,NAVAIR,LPD,HM,E2,24,22,2,72
Military,USFF,LCS,EN,E6,4,2,2,92
Military,NAVSEA,DDG,CTN,E3,3,1,2,72
Military,NAVWAR,LHA,ET,E4,6,5,1,80
Military,USFF,SHORE,ET,E8,18,17,1,68
Military,NAVSEA,SSN,CTN,E5,17,18,-1,72
Military,NAVAIR,SSN,GM,E5,21,20,1,92
Military,NAVWAR,LHA,LS,E1,7,7,0,52
Military,NAVSEA,LCS,CTN,E2,12,13,-1,52
Military,NAVAIR,CVN,IT,E5,14,12,2,92
Military,NAVSEA,SSN,PS,E4,21,22,-1,60
Military,CNP,LHA,GM,E6,13,11,2,92
Military,NAVAIR,SSN,PS,E3,4,5,-1,52
Military,NAVWAR,CVN,PS,E1,23,24,-1,52
Military,NAVSEA,LCS,EN,E6,5,4,1,92
Military,NAVWAR,SHORE,GM,E8,3,5,-2,48
Military,NAVAIR,SSN,CTN,E3,16,15,1,72
Military,NAVSEA,SHORE,EN,E5,8,6,2,60
Military,NAVAIR,SHORE,GM,E3,22,20,2,40
Military,NAVAIR,LCS,GM,E4,12,14,-2,60
Military,NAVSEA,CVN,IT,E7,19,17,2,100
Military,NAVSEA,SHORE,GM,E3,4,2,2,40
Military,CNP,SSN,IT,E3,23,22,1,72
Military,NAVSEA,LCS,GM,E2,22,24,-2,52
Military,NAVAIR,DDG,ET,E3,24,25,-1,52
Military,NAVAIR,SSN,EN,E2,1,0,1,72
Military,USFF,LPD,IT,E9,7,5,2,100
Military,NAVSEA,SSN,LS,E1,24,26,-2,52
Military,USFF,SHORE,EN,E3,17,17,0,20
Military,NAVSEA,LHA,LS,E2,13,11,2,72
Military,NAVAIR,LPD,IT,E4,14,16,-2,60
Military,USFF,LPD,OS,E3,20,19,1,72
Military,NAVAIR,CVN,LS,E1,7,5,2,72
Military,NAVSEA,LCS,EN,E3,10,9,1,72
Military,CNP,LPD,HM,E3,22,21,1,72
Military,NAVSEA,LPD,ET,E1,24,25,-1,52
Military,CNP,LCS,GM,E4,13,13,0,60
Military,NAVSEA,LPD,EN,E2,5,7,-2,52
Military,NAVSEA,CVN,IT,E3,23,22,1,72
Military,USFF,DDG,PS,E8,7,6,1,100
Military,NAVSEA,DDG,GM,E5,14,16,-2,72
Military,NAVSEA,CVN,OS,E1,3,2,1,72
Military,CNP,LPD,ET,E4,1,0,1,80
Military,NAVSEA,LHA,LS,E9,5,5,0,80
Military,CNP,DDG,GM,E3,11,9,2,72
Military,NAVSEA,LHA,ET,E1,20,18,2,72
Military,USFF,SSN,PS,E5,13,15,-2,72
Military,NAVAIR,LCS,IT,E3,18,16,2,72
Military,NAVWAR,LHA,EN,E2,12,12,0,52
Military,NAVWAR,DDG,IT,E4,15,15,0,60
Military,NAVAIR,SSN,OS,E3,15,17,-2,52
Military,NAVWAR,LHA,OS,E4,24,24,0,60
Military,USFF,DDG,LS,E4,18,18,0,60
Military,CNP,LHA,HM,E4,1,1,0,60
Military,NAVAIR,LPD,CTN,E3,6,7,-1,52
Military,USFF,LHA,HM,E3,18,16,2,72
Military,CNP,SSN,GM,E8,5,7,-2,80
Military,NAVWAR,LCS,IT,E3,19,17,2,72
Military,USFF,SSN,ET,E4,22,22,0,60
Military,USFF,DDG,CTN,E3,4,6,-2,52
Military,NAVWAR,LHA,LS,E5,6,6,0,72
Military,NAVWAR,SHORE,EN,E4,6,8,-2,28
Military,CNP,SHORE,HM,E3,20,19,1,40
Military,CNP,CVN,CTN,E4,21,22,-1,60
Military,NAVWAR,SSN,OS,E6,19,17,2,92
Military,NAVAIR,LPD,LS,E7,7,6,1,100
Military,USFF,DDG,CTN,E5,7,9,-2,72
Military,NAVSEA,LHA,GM,E3,3,1,2,72
Military,USFF,LHA,OS,E2,10,10,0,52
Military,NAVWAR,DDG,OS,E5,9,10,-1,72
Military,USFF,LCS,EN,E4,1,2,-1,60
Military,USFF,LHA,PS,E4,10,12,-2,60
Military,NAVWAR,SHORE,LS,E6,8,8,0,40
Military,NAVSEA,SHORE,HM,E2,18,17,1,40
Military,NAVWAR,SSN,PS,E3,21,19,2,72
Military,CNP,SSN,GM,E2,18,20,-2,52
Military,NAVSEA,SSN,LS,E6,1,0,1,92
Military,NAVSEA,SSN,OS,E4,22,24,-2,60
Military,USFF,DDG,IT,E6,22,24,-2,72
Military,NAVAIR,LPD,PS,E3,17,18,-1,52
Military,NAVWAR,LHA,PS,E3,12,14,-2,52
Military,NAVWAR,LHA,ET,E1,11,13,-2,52
Military,CNP,LHA,IT,E5,12,11,1,92
Military,CNP,CVN,PS,E3,3,5,-2,52
Military,NAVAIR,CVN,IT,E6,18,16,2,92
Military,NAVWAR,SSN,HM,E2,4,6,-2,52
Military,NAVAIR,LPD,PS,E3,24,26,-2,52
Military,USFF,LHA,PS,E2,13,15,-2,52
Military,CNP,SHORE,ET,E4,13,13,0,28
Military,NAVWAR,LCS,EN,E1,11,9,2,72
Military,USFF,LHA,IT,E6,13,12,1,92
Military,NAVWAR,SHORE,OS,E4,9,7,2,48
Military,USFF,DDG,OS,E4,12,11,1,80
Military,CNP,LHA,LS,E6,23,24,-1,72
Military,NAVSEA,LPD,ET,E6,9,10,-1,72
Military,NAVWAR,DDG,OS,E6,8,6,2,92
Military,NAVWAR,CVN,GM,E6,17,16,1,92
Military,NAVSEA,LHA,PS,E2,2,4,-2,52
Military,NAVSEA,SHORE,HM,E3,12,14,-2,20
Military,NAVSEA,DDG,HM,E5,9,11,-2,72
Military,CNP,LPD,IT,E4,16,14,2,80
Military,NAVWAR,CVN,CTN,E1,4,5,-1,52
Military,NAVSEA,SHORE,EN,E7,17,15,2,68
Military,USFF,LPD,ET,E6,17,19,-2,72
Military,NAVSEA,LHA,IT,E5,8,7,1,92
Military,NAVWAR,LCS,CTN,E6,18,18,0,72
Military,NAVAIR,SSN,GM,E3,7,8,-1,52
Military,NAVWAR,LCS,HM,E5,23,23,0,72
Military,NAVSEA,DDG,ET,E8,24,24,0,80
Military,CNP,LHA,HM,E5,4,6,-2,72
Military,USFF,SHORE,HM,E5,8,8,0,40
Military,CNP,DDG,OS,E2,17,18,-1,52
Military,CNP,CVN,HM,E7,2,2,0,80
Military,USFF,SSN,PS,E8,15,16,-1,80
Military,NAVAIR,DDG,GM,E3,11,13,-2,52
Military,USFF,LHA,CTN,E9,18,19,-1,80
Military,NAVAIR,SSN,EN,E5,22,23,-1,72
Military,NAVWAR,SHORE,OS,E3,4,3,1,40
Military,USFF,LHA,LS,E7,10,10,0,80
Military,NAVWAR,LPD,OS,E3,5,3,2,72
Military,USFF,LPD,GM,E5,21,20,1,92
Military,NAVWAR,SSN,ET,E1,19,20,-1,52
Military,USFF,LHA,CTN,E4,16,16,0,60
Military,NAVAIR,SHORE,OS,E8,5,7,-2,48
Military,USFF,CVN,GM,E8,21,21,0,80
Military,NAVAIR,LCS,OS,E7,7,9,-2,80
Military,NAVSEA,SSN,OS,E1,2,2,0,52
Military,NAVAIR,LHA,IT,E3,3,3,0,52
Military,NAVWAR,LPD,PS,E3,24,22,2,72
Military,NAVWAR,LCS,CTN,E9,4,5,-1,80
Military,NAVAIR,CVN,HM,E5,10,9,1,92
Military,NAVSEA,DDG,EN,E1,11,11,0,52
Military,NAVSEA,DDG,EN,E3,6,5,1,72
Military,NAVWAR,LCS,GM,E3,5,3,2,72
Military,NAVAIR,DDG,CTN,E6,4,4,0,72
Military,NAVSEA,LCS,CTN,E2,20,22,-2,52
Military,NAVSEA,LHA,OS,E6,18,18,0,72
Military,NAVWAR,CVN,OS,E2,11,11,0,52
Military,NAVSEA,LHA,LS,E3,16,18,-2,52
Military,CNP,SSN,CTN,E3,20,20,0,52
Military,NAVSEA,SSN,EN,E6,17,17,0,72
Military,NAVAIR,LCS,ET,E6,19,17,2,92
Military,NAVAIR,CVN,LS,E3,18,18,0,52
Military,NAVWAR,LHA,CTN,E2,15,17,-2,52
Military,USFF,CVN,GM,E2,1,0,1,72
Military,USFF,LHA,PS,E8,9,7,2,100
Military,USFF,DDG,LS,E2,8,6,2,72
Military,NAVSEA,LPD,PS,E1,5,5,0,52
Military,NAVAIR,SSN,ET,E3,24,23,1,72
Military,NAVWAR,SSN,IT,E6,10,9,1,92
Military,CNP,LPD,OS,E4,18,20,-2,60
Military,CNP,DDG,GM,E5,20,21,-1,72
Military,USFF,SSN,EN,E4,7,8,-1,60
Military,NAVWAR,LCS,EN,E6,24,24,0,72
Military,CNP,DDG,LS,E6,11,13,-2,72
Military,USFF,LPD,ET,E3,3,2,1,72
Military,NAVSEA,LCS,EN,E7,12,13,-1,80
Military,CNP,SHORE,CTN,E2,7,5,2,40
Military,NAVSEA,DDG,CTN,E5,3,5,-2,72
Military,NAVWAR,LCS,ET,E4,5,6,-1,60
Military,NAVWAR,LPD,GM,E5,23,21,2,92
Military,CNP,LCS,HM,E4,9,9,0,60
Military,NAVWAR,SSN,HM,E2,22,20,2,72
Military,NAVAIR,SHORE,CTN,E6,11,10,1,60
Military,NAVAIR,DDG,EN,E3,21,22,-1,52
Military,USFF,LPD,ET,E7,3,5,-2,80
Military,CNP,CVN,HM,E4,3,2,1,80
Military,NAVWAR,LPD,GM,E3,14,12,2,72
Military,CNP,LHA,GM,E5,19,18,1,92
Military,CNP,SSN,IT,E4,11,12,-1,60
Military,NAVAIR,CVN,IT,E6,16,18,-2,72
Military,USFF,LPD,ET,E5,24,24,0,72
Military,NAVWAR,SSN,PS,E5,18,20,-2,72
Military,NAVAIR,DDG,LS,E1,12,13,-1,52
Military,USFF,SHORE,HM,E9,14,12,2,68
Military,NAVAIR,SHORE,ET,E4,16,17,-1,28
Military,NAVSEA,DDG,HM,E3,12,11,1,72
Military,NAVWAR,LPD,HM,E4,21,20,1,80
Military,USFF,SSN,PS,E5,12,12,0,72
Military,NAVAIR,LPD,GM,E3,14,12,2,72
Military,CNP,LPD,IT,E1,14,15,-1,52
Military,NAVWAR,SHORE,LS,E4,7,8,-1,28
Military,CNP,SHORE,CTN,E4,4,6,-2,28
Military,NAVWAR,LHA,CTN,E4,12,12,0,60
Military,USFF,LCS,GM,E1,7,9,-2,52
Military,USFF,CVN,PS,E6,24,23,1,92
Military,USFF,CVN,CTN,E4,17,19,-2,60
Military,NAVAIR,LPD,GM,E6,19,18,1,92
Military,NAVWAR,SSN,OS,E2,6,5,1,72
Military,NAVSEA,DDG,PS,E3,12,11,1,72
Military,NAVAIR,DDG,OS,E4,9,7,2,80
Military,USFF,LCS,IT,E3,1,0,1,72
Military,CNP,SHORE,OS,E8,17,18,-1,48
Military,NAVAIR,DDG,EN,E3,21,21,0,52
Military,USFF,LPD,OS,E5,10,8,2,92
Military,NAVWAR,LHA,PS,E3,7,5,2,72
Military,NAVWAR,LHA,GM,E6,14,13,1,92
Military,USFF,LPD,HM,E3,10,12,-2,52
Military,CNP,SHORE,OS,E6,21,19,2,60
Military,USFF,LHA,EN,E7,13,12,1,100
Military,USFF,LHA,IT,E1,17,16,1,72
Military,NAVWAR,LCS,LS,E4,24,23,1,80
Military,CNP,CVN,HM,E9,15,17,-2,80
Military,NAVWAR,LPD,IT,E4,20,21,-1,60
Military,NAVWAR,LCS,LS,E4,2,3,-1,60
Military,CNP,DDG,EN,E8,24,24,0,80
Military,CNP,SHORE,CTN,E4,5,5,0,28
Military,NAVSEA,DDG,GM,E2,22,24,-2,52
Military,NAVSEA,LHA,EN,E3,9,9,0,52
Military,NAVWAR,SHORE,ET,E3,24,23,1,40
Military,USFF,SSN,IT,E3,22,23,-1,52
Military,NAVAIR,CVN,HM,E6,23,23,0,72
Military,CNP,CVN,HM,E1,18,19,-1,52
Military,NAVWAR,DDG,EN,E1,18,18,0,52
Military,CNP,CVN,ET,E3,8,7,1,72
Military,CNP,LHA,OS,E3,17,18,-1,52
Military,NAVAIR,LHA,EN,E7,2,0,2,100
Military,CNP,DDG,ET,E4,10,12,-2,60
Military,NAVSEA,LCS,GM,E5,20,21,-1,72
Military,NAVSEA,DDG,PS,E6,7,9,-2,72
Military,CNP,SSN,GM,E4,21,23,-2,60
Military,NAVAIR,LCS,PS,E5,2,1,1,92
Military,USFF,SHORE,IT,E7,2,3,-1,48
Military,CNP,DDG,ET,E2,19,19,0,52
Military,USFF,CVN,IT,E4,21,20,1,80
Military,NAVSEA,LPD,LS,E4,2,2,0,60
Military,NAVAIR,LCS,GM,E7,2,1,1,100
Military,NAVSEA,SHORE,OS,E3,13,11,2,40
Military,USFF,LPD,ET,E3,24,24,0,52
Military,NAVSEA,DDG,GM,E1,16,17,-1,52
Military,NAVSEA,SSN,PS,E9,13,11,2,100
Military,NAVSEA,CVN,HM,E9,12,12,0,80
Military,NAVAIR,LHA,IT,E1,18,19,-1,52
Military,USFF,LHA,EN,E3,12,12,0,52
Military,CNP,LHA,ET,E2,9,8,1,72
Military,USFF,SHORE,HM,E3,13,14,-1,20
Military,NAVAIR,LCS,IT,E4,6,6,0,60
Military,NAVAIR,DDG,ET,E4,19,19,0,60
Military,NAVWAR,SSN,HM,E4,11,9,2,80
Military,CNP,LCS,IT,E5,4,3,1,92
Military,NAVAIR,SHORE,IT,E1,13,13,0,20
Military,CNP,LPD,PS,E4,16,18,-2,60
Military,NAVAIR,SHORE,GM,E4,6,4,2,48
Military,USFF,LPD,GM,E3,6,6,0,52
Military,NAVAIR,SHORE,PS,E3,8,7,1,40
Military,USFF,LHA,HM,E4,6,6,0,60
Military,NAVSEA,LHA,ET,E3,24,23,1,72
Military,NAVSEA,SHORE,ET,E1,8,7,1,40
Military,NAVAIR,SHORE,PS,E5,22,23,-1,40
Military,USFF,LCS,HM,E5,22,20,2,92
Military,USFF,SSN,OS,E3,4,3,1,72
Military,NAVWAR,SSN,LS,E3,4,6,-2,52
Military,NAVWAR,DDG,GM,E3,5,5,0,52
Military,NAVSEA,LHA,PS,E4,5,7,-2,60
Military,NAVWAR,SSN,CTN,E3,3,1,2,72
Military,NAVAIR,DDG,PS,E7,3,1,2,100
Military,NAVWAR,SHORE,ET,E5,11,10,1,60
Military,NAVWAR,LPD,CTN,E3,1,0,1,72
Military,NAVAIR,SSN,GM,E3,14,15,-1,52
Military,NAVAIR,LCS,PS,E3,16,17,-1,52
Military,NAVSEA,SHORE,PS,E5,24,24,0,40
Military,USFF,SSN,CTN,E6,21,23,-2,72
Military,NAVAIR,DDG,GM,E6,13,12,1,92
Military,NAVAIR,LHA,CTN,E6,23,25,-2,72
Military,NAVAIR,SSN,OS,E7,12,11,1,100
Military,USFF,LPD,OS,E3,21,22,-1,52
Military,NAVSEA,LHA,LS,E9,16,14,2,100
Military,NAVWAR,DDG,IT,E4,4,4,0,60
Military,NAVSEA,LPD,EN,E5,1,2,-1,72
Military,NAVWAR,SHORE,HM,E7,17,17,0,48
Military,NAVWAR,SHORE,ET,E7,8,10,-2,48
Military,NAVSEA,CVN,ET,E1,9,11,-2,52
Military,CNP,SHORE,HM,E7,18,19,-1,48
Military,NAVSEA,SHORE,HM,E3,14,15,-1,20
Military,CNP,SHORE,CTN,E2,21,22,-1,20
Military,NAVAIR,SSN,EN,E2,5,6,-1,52
Military,NAVWAR,LPD,IT,E3,8,8,0,52
Military,CNP,LHA,LS,E3,8,10,-2,52
Military,NAVWAR,LCS,ET,E3,13,12,1,72
Military,NAVAIR,DDG,IT,E4,21,21,0,60
Military,NAVWAR,LCS,GM,E1,21,21,0,52
Military,NAVAIR,LHA,CTN,E5,12,14,-2,72
Military,NAVAIR,SHORE,GM,E2,7,6,1,40
Military,USFF,LCS,HM,E4,2,3,-1,60
Military,CNP,LHA,ET,E8,15,13,2,100
Military,NAVSEA,LCS,ET,E9,15,17,-2,80
Military,NAVWAR,CVN,IT,E2,16,18,-2,52
Military,NAVWAR,CVN,OS,E4,19,20,-1,60
Military,NAVWAR,SHORE,ET,E3,19,18,1,40
Military,NAVAIR,LCS,IT,E7,20,19,1,100
